nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_3_e,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dlv_p,o_dlv_e,o_hops,legs
701,188,2600,2170,420,790,341,975,1077,349,9230,6942,1020,3235,476,0,0,0,0,3340,343,155,180,308,349,830,894,149,6680,4741,1,1
702,13827,1252,1167,180,225,238,130,126,349,2234,1743,780,1224,349,0,0,0,0,8647,4600,4769,1500,1212,778,170,202,341,762,0,1,2
703,3243,1520,1489,300,321,341,795,700,555,1770,1860,300,194,690,0,0,0,0,4862,675,447,180,348,555,855,661,815,3540,964,2,2
704,13862,1330,1165,90,196,561,695,389,700,4192,2892,90,1346,128,0,0,0,0,6428,1235,655,90,617,700,585,125,257,3780,7520,2,2
705,10673,1433,89,90,1375,128,1355,1141,700,1338,1016,90,350,485,1249,230,90,0,3499,1453,924,90,590,700,800,342,671,3780,911,1,2
706,236,480,306,240,350,476,975,834,815,520,179,240,515,476,156,0,240,0,10116,2569,1673,90,942,281,1200,890,700,3780,8300,1,3
707,14503,1684,1004,240,871,286,1005,5251,128,1684,1444,240,467,144,951,925,240,0,12831,254,186,240,252,445,970,733,128,3960,606,2,3
708,3257,24424,24260,90,204,256,1240,1035,700,0,0,0,0,0,0,0,0,0,6822,4343,3787,90,585,700,850,584,628,3780,450,1,3
709,142,16207,15502,90,755,349,1340,1009,700,1135,114,90,1051,815,0,0,0,0,14467,1374,589,90,815,700,535,187,468,3780,1358,1,1
710,8710,1122,886,150,352,308,590,629,128,646,101,150,651,700,0,0,0,0,8886,77,59,240,219,128,960,708,597,3960,132,1,2
711,7311,780,32,180,879,485,885,900,149,0,0,0,0,0,0,0,0,0,7714,1198,388,180,930,149,1080,1347,431,6960,522,1,2
712,7739,2688,2485,180,328,441,960,718,149,17467,17183,180,389,809,4626,3826,180,0,8138,495,177,150,406,149,461,537,128,4230,1169,1,1
713,1349,12490,12336,360,486,485,845,693,308,1662,1564,420,458,548,22979,22109,90,0,7378,240,284,730,665,308,925,1055,597,2760,985,2,3
714,4195,3617,3239,240,575,548,920,830,128,0,0,0,0,0,0,0,0,0,12737,1197,464,90,771,128,1230,978,700,3780,801,1,3
715,6913,1072,484,240,817,128,940,682,800,925,302,150,724,361,766,288,150,0,5899,225,67,240,346,800,875,749,128,3960,639,2,1
716,6513,59,42,240,216,128,970,774,456,331,277,180,169,770,0,0,0,0,1671,996,214,240,965,456,1015,849,128,3960,6158,2,3
717,10741,1858,1660,90,238,700,1270,983,281,125,145,570,485,391,0,0,0,0,12505,1359,308,270,1264,281,810,752,597,4110,1649,2,2
718,2578,935,113,150,914,391,80,78,281,862,638,90,277,700,0,0,0,0,7916,16522,14791,90,4026,281,1360,1060,700,3780,448,1,2
719,4983,1468,38,150,1537,431,795,500,815,579,318,150,341,485,72,0,240,0,4198,812,68,240,926,815,740,514,206,5100,28418,1,2
720,9104,820,71,150,843,727,120,165,128,6709,5769,90,962,456,834,374,150,0,9695,3020,2662,180,488,411,935,1190,317,660,1677,1,3
721,8705,4245,2546,300,1958,798,725,513,233,5120,1585,90,3553,308,0,0,0,0,4387,1973,967,180,1181,233,855,668,149,6680,4324,1,3
722,5714,1073,263,180,930,597,1050,929,815,1004,67,240,1115,403,0,0,0,0,4719,107,60,135,132,815,380,213,524,5460,961,1,2
723,8910,875,896,300,216,233,695,607,431,335,415,300,184,371,410,345,300,0,5558,1863,205,240,1851,431,735,649,128,3960,333,1,2
724,1132,4832,4549,90,302,456,905,558,700,0,0,0,0,0,0,0,0,0,3762,987,118,270,1106,349,1305,691,520,1240,1856,1,3
725,9637,1282,605,240,860,456,1030,1183,128,707,246,150,560,281,328,291,150,0,231,700,730,300,212,667,840,220,555,3090,1056,1,1
726,9874,195,159,240,209,281,700,441,349,995,802,90,235,671,1119,24,420,0,1305,774,374,180,405,187,715,1371,149,6680,4919,2,3
727,343,1216,40,165,1296,128,1035,907,413,180,76,150,212,166,1775,51,165,0,6031,2618,2387,150,343,413,700,696,128,4230,2702,1,3
728,1144,2865,2893,300,228,690,750,591,555,1549,182,180,1487,256,2735,2365,300,0,4893,1407,1141,180,386,555,855,741,815,7140,1461,2,3
729,3112,2229,2057,90,205,671,820,578,700,37994,37148,90,876,815,0,0,0,0,14468,963,574,90,417,700,795,358,671,3780,1432,3,3
730,1411,2101,1710,360,691,700,990,998,349,3188,1632,420,1916,341,1960,1550,750,0,11618,6947,5677,420,1660,349,1190,1127,341,762,0,1,2
731,14244,3165,3255,300,166,371,855,718,308,0,0,0,0,0,0,0,0,0,12887,380,254,300,395,308,825,734,690,2940,106,2,3
732,4868,3094,1776,300,1555,609,820,658,815,168,48,150,210,614,0,0,0,0,4625,1021,100,240,1112,815,890,823,597,5160,119,1,1
733,9502,0,34,180,96,614,455,152,815,0,0,0,0,0,0,0,0,0,4238,84,21,135,140,815,295,253,485,5160,145,1,2
734,37,1322,263,180,1180,411,670,646,128,8953,8545,240,603,548,0,0,0,0,6668,152,116,150,150,128,110,145,485,4230,397,1,1
735,11431,292,175,180,229,206,865,674,815,123,121,150,89,281,68,52,150,0,1533,22802,21878,90,959,815,1220,998,700,3780,3859,1,2
736,10840,1212,262,240,1138,815,705,654,555,159,125,135,119,815,1048,72,240,0,8066,14724,14591,300,426,555,810,658,341,1620,214,2,3
737,5027,1063,314,180,869,597,1050,980,815,4561,3054,300,1750,431,0,0,0,0,4155,111,35,135,196,815,285,221,485,5160,541,1,3
738,12953,37069,35953,90,1272,233,1395,978,700,1346,836,90,551,349,0,0,0,0,8329,2693,2555,90,163,113,1105,721,700,3780,5432,1,2
739,10763,1036,73,240,1149,815,995,872,671,0,0,0,0,0,0,0,0,0,4125,1705,1225,300,750,671,1050,882,609,1140,3828,2,2
740,13579,859,165,150,797,391,95,150,128,2160,1922,90,263,174,602,593,210,0,4329,5373,4979,90,417,671,795,656,700,3840,1814,1,1
741,11202,3105,3046,480,394,341,1015,1028,349,4338,3218,410,1527,411,655,69,150,0,7252,1750,1104,180,766,349,235,106,815,6060,7016,2,3
742,12853,299,134,90,212,561,695,406,700,404,215,90,246,431,0,0,0,0,6206,2237,987,90,1295,700,880,561,597,3780,4394,2,3
743,2992,113,37,120,841,166,110,209,281,0,0,0,0,0,0,0,0,0,12355,99,42,150,144,281,205,141,485,2880,746,1,2
744,2253,2077,1299,90,824,700,1240,840,815,203,105,240,268,476,1100,181,180,0,9907,918,116,240,982,815,995,797,671,4680,1545,1,1
745,12610,138,121,150,113,166,140,126,128,2246,1726,90,549,671,0,0,0,0,5595,2793,2672,240,344,411,850,700,128,3960,2518,1,3
746,11695,1680,1554,240,325,809,725,700,128,0,0,0,0,0,0,0,0,0,7803,8808,8022,90,803,233,1450,1421,700,3780,909,2,2
747,2202,1008,277,90,774,700,585,92,257,37990,37058,90,961,815,3804,3305,90,0,13155,25,96,390,344,257,1175,976,349,810,1387,2,1
748,1030,1129,994,420,525,671,940,783,800,1259,1065,180,343,485,469,285,240,0,6622,1603,1443,180,297,805,600,630,349,355,34,2,3
749,4702,769,712,180,233,671,880,199,299,1010,708,180,472,671,1484,268,555,0,14226,2342,1793,90,579,299,820,528,700,3780,222,2,3
750,8433,986,281,180,825,101,220,210,128,214,223,150,196,281,199,87,150,0,12608,146,124,150,118,166,140,126,128,4230,1013,1,3
751,2747,991,0,300,1239,144,590,533,490,3408,1823,240,337,206,2551,1555,300,0,13820,427,0,240,633,490,1035,808,128,3960,2455,2,3
752,7138,1137,1003,780,881,349,1381,1050,548,828,46,240,980,128,4497,2706,420,0,1001,751,336,420,791,548,865,889,349,550,1295,2,3
753,598,1025,256,150,853,610,170,234,128,258,197,150,184,485,0,0,0,0,12123,4119,2779,90,1376,128,1225,884,700,3780,68,1,3
754,6615,748,187,150,689,571,410,158,128,709,325,780,1126,349,0,0,0,0,3083,4019,3730,90,662,671,815,554,700,3780,703,1,2
755,10124,1279,384,90,941,281,1200,1054,700,1225,210,90,1044,815,0,0,0,0,3625,2117,1694,90,450,700,1240,1019,281,3780,15,2,2
756,13137,220,84,150,223,485,135,117,377,2916,420,180,2946,520,170,146,150,0,13374,255,189,150,169,377,280,186,485,5160,1126,1,2
757,13340,579,284,240,490,441,970,883,128,976,589,240,579,128,0,0,0,0,3511,1850,1834,645,614,809,445,497,308,1140,1908,1,3
758,11413,1508,1362,150,234,366,120,173,128,2611,1668,90,970,456,1461,647,90,0,8562,2941,2873,240,274,411,855,816,128,3960,1421,2,2
759,7175,1663,1499,150,279,413,730,700,128,80,119,240,131,815,0,0,0,0,6904,977,55,240,1121,128,785,584,472,3960,990,2,3
760,9416,1139,603,240,731,128,785,467,809,867,31,240,1041,128,290,635,960,0,11667,403,233,150,281,809,470,452,128,4230,616,1,2
761,6394,2446,1830,90,655,700,1100,863,597,665,92,300,922,308,0,0,0,0,2072,13330,13152,90,988,597,1105,835,700,3780,3356,1,3
762,2356,487,269,90,256,700,795,379,671,4819,4124,90,727,700,0,0,0,0,3775,2390,1988,90,428,671,815,569,700,3780,1129,2,2
763,7122,1797,1481,160,412,783,375,104,815,0,0,0,0,0,0,0,0,0,10149,1028,47,240,1164,815,940,820,476,6990,1212,2,2
764,14361,1797,1017,90,817,485,1250,897,700,0,0,0,0,0,0,0,0,0,2091,3330,2693,90,679,700,880,514,597,3780,2821,1,1
765,1282,1288,1104,150,275,610,165,155,128,0,0,0,0,0,0,0,0,0,6453,882,37,240,1046,128,880,703,800,3960,1214,1,1
766,389,2951,2927,240,200,649,295,287,815,135,42,120,153,236,1113,277,240,0,5344,18591,17611,180,1106,485,885,889,149,6680,1480,1,1
767,6115,1253,654,90,647,700,795,400,671,0,0,0,0,0,0,0,0,0,3079,1408,857,90,579,671,820,595,700,3780,1128,1,3
768,2822,758,166,180,718,166,225,266,128,0,0,0,0,0,0,0,0,0,12515,526,167,330,629,233,255,94,815,5220,1920,2,1
769,13279,7649,7493,120,191,236,390,159,815,0,0,0,0,0,0,0,0,0,5062,1036,222,180,934,597,1050,818,815,5040,3785,2,1
770,147,164,35,240,301,476,985,844,815,414,254,240,333,476,0,0,0,0,9272,2467,1382,90,1115,815,1220,1006,700,3780,46,1,1
771,217,120,45,240,255,476,975,735,815,1160,1127,150,122,614,141,118,150,0,4230,657,87,240,758,815,215,154,128,4890,1524,1,2
772,8430,293,59,120,294,236,390,581,815,1517,1008,1500,1949,371,520,33,1500,337,4806,3574,1643,900,2786,388,480,491,349,353,833,1,3
773,5898,469,295,240,371,441,970,919,128,1227,163,240,1287,815,0,0,0,0,8695,1430,508,300,1185,609,695,575,485,1140,57,2,3
774,3211,2830,2680,300,399,690,810,642,555,0,0,0,0,0,0,0,0,0,7460,13479,13457,300,279,555,740,612,371,1560,36,1,2
775,2144,883,510,90,406,700,1935,1460,431,1290,1255,300,286,371,901,140,240,0,2405,371,141,90,288,431,1780,1506,700,3780,184,1,1
776,947,145,32,240,284,476,985,829,815,183,134,150,136,614,0,0,0,0,9727,989,82,240,1090,815,380,243,524,5460,19,1,3
777,11073,444,485,155,630,134,520,114,281,0,0,0,0,0,0,0,0,0,7358,1349,42,165,1427,281,825,541,413,4020,301,1,2
778,1059,820,278,240,756,770,385,148,128,1440,2265,1015,145,714,0,0,0,0,5939,1363,301,360,1362,809,678,605,783,402,1662,1,1
779,12992,1039,635,90,431,700,2315,1596,411,4013,3157,90,885,456,2645,1707,90,0,8101,1702,514,240,1366,411,855,653,128,3960,1448,1,2
780,174,156,123,270,246,216,735,650,815,239,104,150,226,281,383,338,150,0,3456,161,58,240,299,815,215,146,128,4890,0,1,3
781,7223,532,408,150,205,388,375,134,815,202,117,150,164,431,0,0,0,0,4439,152,91,240,253,815,190,160,233,5220,1049,1,3
782,1067,4740,4572,240,385,371,995,957,128,1135,955,180,370,671,15512,12875,1020,0,8170,265,123,150,227,349,55,101,815,5100,101,1,2
783,10244,1437,1235,240,388,798,740,648,815,0,0,0,0,0,0,0,0,0,9930,844,251,240,774,815,260,348,134,5160,2764,2,3
784,13363,3161,2812,240,543,441,970,861,128,0,0,0,0,0,0,0,0,0,6613,679,94,240,781,128,765,503,152,3960,582,1,1
785,1284,975,961,150,108,610,170,143,128,222,123,240,291,727,216,123,150,0,8914,1294,1058,240,502,128,965,718,597,4020,78,1,1
786,2250,4873,4231,90,707,700,800,333,671,8210,8267,300,197,476,0,0,0,0,13129,646,477,90,199,671,820,591,700,3780,16846,1,3
787,8142,431,357,150,193,431,500,552,128,525,428,240,300,485,169,87,240,0,6744,1020,146,240,1074,128,740,430,316,3870,11660,2,2
788,7242,869,901,240,148,233,380,119,398,0,0,0,0,0,0,0,0,0,3281,890,216,180,792,398,345,203,281,4080,8834,1,3
789,11092,1034,490,660,1332,233,1170,1136,128,0,0,0,0,0,0,0,0,0,100,525,885,600,192,667,420,237,555,3360,1703,2,1
790,5808,218,171,150,136,391,385,168,815,0,0,0,0,0,0,0,0,0,10922,967,62,240,1097,815,380,216,524,5460,962,2,1
791,8023,1130,398,300,980,308,375,190,609,111,93,135,95,815,470,197,1500,0,6161,1120,680,180,562,527,895,786,149,7020,11629,1,1
792,12531,444,334,150,209,233,375,96,815,226,245,150,66,431,1432,1075,300,0,1593,5792,1672,90,4150,815,1210,862,700,3780,377,2,3
793,12332,210,144,150,154,281,540,122,166,0,0,0,0,0,0,0,0,0,2749,279,84,150,295,166,130,202,128,4230,337,1,3
794,14144,784,27,240,949,128,785,549,809,37,20,180,159,614,0,0,0,0,11652,2883,2486,150,484,809,470,482,128,3450,1423,2,1
795,13601,1725,780,300,1198,308,2065,673,256,9034,8579,240,635,395,867,591,180,0,11512,1770,351,240,1598,256,1485,1108,680,3780,1371,2,2
796,8378,240,52,165,362,815,910,622,413,0,0,0,0,0,0,0,0,0,9555,2721,2638,150,173,413,730,763,349,1070,2436,1,3
797,9972,923,238,240,865,281,415,161,815,0,0,0,0,0,0,0,0,0,3682,1186,120,240,1263,815,760,745,609,7680,749,2,1
798,827,129,110,150,158,485,130,484,128,6014,5700,90,347,476,0,0,0,0,13782,1441,390,90,1134,128,1225,925,700,3780,30,1,1
799,11893,701,269,270,689,349,1042,1128,671,0,0,0,0,0,0,0,0,0,13166,3708,3224,90,514,671,815,616,700,3780,12000,1,2
800,7599,1958,1710,300,504,700,1070,861,128,0,0,0,0,0,0,0,0,0,3728,195,96,180,229,128,260,122,815,4740,965,2,1
801,8208,2128,1545,240,772,398,460,389,128,0,0,0,0,0,0,0,0,0,953,852,67,420,1137,548,865,921,349,550,2874,2,1
802,5445,261,144,1500,1557,371,1000,973,815,346,51,240,462,476,1613,1710,1500,0,8465,170,53,120,177,236,390,208,815,5040,275,1,1
803,8634,1041,144,210,1053,663,265,153,815,7219,1891,90,5753,128,0,0,0,0,2301,286,260,195,161,441,695,692,349,385,257,2,3
804,2873,327,122,90,431,579,1005,565,128,2970,383,150,2682,134,0,0,0,0,1753,142,11,240,378,128,1035,777,700,3960,0,1,2
805,11488,720,69,240,860,128,810,683,609,0,0,0,0,0,0,0,0,0,5591,1719,1665,240,275,609,770,626,128,3960,1113,1,2
806,1768,71,77,240,193,128,1035,773,700,1581,1463,90,182,671,4092,2799,90,0,6561,2701,1837,90,895,700,705,290,403,3780,746,2,1
807,1427,3243,2848,420,747,548,850,864,349,0,0,0,0,0,0,0,0,0,4924,19240,17174,180,2196,349,840,736,149,6680,5661,1,3
808,4766,356,114,240,434,815,215,176,128,0,0,0,0,0,0,0,0,0,8923,1363,884,240,673,128,765,566,152,3960,246,1,1
809,11739,37994,36983,90,1058,815,1210,1109,700,1184,139,90,1093,128,129,26,240,0,6248,957,658,90,325,700,845,525,628,3780,446,1,1
810,3888,1422,706,180,846,326,130,87,815,347,350,210,147,663,14854,14852,300,0,1093,3333,3281,240,241,371,995,748,128,3960,44,1,3
811,3198,18950,18761,90,207,476,1850,1768,700,0,0,0,0,0,0,0,0,0,14331,5657,5413,90,285,700,1935,1464,431,3780,1268,1,3
812,10329,2500,484,90,2047,128,1225,867,700,0,0,0,0,0,0,0,0,0,2076,1127,708,90,467,700,625,274,174,3780,12208,1,1
813,13903,38354,37332,90,1096,233,1450,1342,700,321,256,150,161,727,34724,33779,90,0,6114,199,63,90,168,700,1330,920,485,3780,1696,1,1
814,379,1157,151,180,1126,597,1055,840,815,0,0,0,0,0,0,0,0,0,10434,1418,220,240,1391,815,260,194,710,5220,7246,1,3
815,11909,500,136,900,1204,388,630,450,349,6997,5945,300,1303,597,940,322,900,0,1751,1234,494,240,920,144,575,538,349,385,1203,1,1
816,4627,7646,7311,240,577,548,920,796,128,67,14,240,226,783,189,44,90,0,13472,26000,25018,90,1036,128,865,511,699,3780,74,1,3
817,660,265,266,300,256,555,775,587,256,0,0,0,0,0,0,0,0,0,3992,677,78,180,765,256,380,128,485,3960,80,1,3
818,1126,1818,1617,90,226,456,905,507,700,1319,890,90,475,128,11621,10710,90,0,2237,2494,1720,90,836,700,605,151,698,3780,10253,1,1
819,10324,117,59,135,152,815,285,227,485,0,0,0,0,0,0,0,0,0,7684,18985,18102,180,1012,485,885,772,149,6680,1669,1,3
820,11239,437,321,150,241,485,395,141,815,0,0,0,0,0,0,0,0,0,2620,170,59,135,197,815,655,656,332,5400,905,1,1
821,13726,3360,2960,300,669,431,1940,539,256,12646,11708,240,1173,413,0,0,0,0,5694,35714,34918,90,836,256,1240,1132,700,3780,118,1,1
822,7106,335,320,75,30,647,765,1177,431,719,86,240,825,815,258,0,240,0,7214,24691,23452,90,1264,233,1365,1396,700,3780,1247,2,2
823,10707,1224,807,90,459,128,1225,986,700,0,0,0,0,0,0,0,0,0,9297,583,391,90,243,700,1210,902,243,3780,3095,2,3
824,5284,883,812,150,170,485,410,122,815,0,0,0,0,0,0,0,0,0,1548,1145,98,90,1077,815,1210,960,700,3780,28,1,1
825,5959,1460,604,300,1113,349,805,939,809,0,0,0,0,0,0,0,0,0,11711,6040,6031,240,199,809,740,527,128,3780,419,1,1
826,580,777,151,150,732,571,140,182,128,0,0,0,0,0,0,0,0,0,3038,3731,3633,90,139,671,815,1147,700,3780,2659,2,1
827,12635,199,215,150,72,281,720,146,166,0,0,0,0,0,0,0,0,0,12754,207,199,150,103,166,140,125,128,4230,10582,2,1
828,11010,64,39,135,106,815,285,147,485,61,32,135,106,815,685,69,240,0,10290,750,374,180,489,485,205,222,134,2850,139,2,1
829,874,370,190,270,381,216,735,744,815,0,0,0,0,0,0,0,0,0,7893,1102,1050,210,207,663,260,251,815,5760,1305,1,3
830,9483,265,105,90,278,579,1010,723,128,200,41,240,334,815,254,194,240,0,1882,1314,443,240,1067,128,809,491,332,3840,199,2,1
831,8187,984,396,150,678,349,50,77,815,272,0,120,334,304,14508,10808,90,0,13282,2174,1816,240,552,441,976,872,128,3960,6064,1,3
832,3653,1126,103,240,1200,815,930,807,476,0,0,0,0,0,0,0,0,0,3186,11757,11858,90,366,476,1885,1638,700,3780,124,2,3
833,9890,220,223,135,73,815,285,216,485,130,105,300,346,308,0,0,0,0,10955,1754,643,90,1933,485,1240,1126,700,3780,49,1,1
834,894,92,45,240,224,476,985,811,815,1815,357,300,1866,609,701,216,150,0,12570,1015,1076,150,35,610,405,3369,504,2880,5608,1,2
835,11264,1419,1154,240,458,398,820,658,597,1865,1439,90,497,299,1421,342,240,0,5711,1094,213,180,1001,597,1050,810,815,5040,0,1,3
836,12424,687,192,150,596,281,145,151,128,313,81,240,422,815,0,0,0,0,5507,1157,376,240,982,128,895,652,800,3960,79,2,3
837,2458,527,262,90,300,700,1270,1003,281,105,23,180,205,485,0,0,0,0,7763,135,95,150,129,281,100,124,610,2880,13,1,2
838,4499,2215,2065,90,191,671,790,527,700,525,600,300,201,371,0,0,0,0,7616,80,80,300,311,308,2185,597,256,2760,175,1,2
839,2359,190,166,150,114,391,80,81,281,0,0,0,0,0,0,0,0,0,12326,788,167,150,736,281,125,237,128,4230,1140,1,2
840,3269,139,79,90,536,579,1010,618,128,0,0,0,0,0,0,0,0,0,14002,109,40,150,184,128,475,224,493,3960,18,2,1
841,7465,14919,14878,300,298,555,740,613,371,3165,2086,300,1345,308,1744,1539,300,0,1589,1350,1365,300,252,371,835,723,431,1140,3241,1,1
842,2975,78,75,135,83,815,385,126,770,66,49,135,131,815,1323,1025,150,0,1097,357,423,240,129,770,380,134,128,4020,4324,1,3
843,2917,973,252,150,813,727,395,158,128,911,258,150,758,610,0,0,0,0,7648,1535,1467,90,152,413,860,530,700,3780,75,2,3
844,12206,270,202,240,283,809,725,876,128,0,0,0,0,0,0,0,0,0,14067,3112,2105,240,1204,128,1220,1037,257,3960,15452,1,2
845,8393,362,177,210,340,663,255,128,815,145,65,300,331,555,1950,1736,300,0,6955,7197,6991,240,428,371,995,713,128,3960,1520,1,1
846,1175,2412,1497,90,940,456,880,684,700,276,127,150,245,166,296,241,240,0,5718,587,337,180,375,411,670,610,128,3960,1694,2,3
847,4896,120,20,300,340,431,900,939,216,0,0,0,0,0,0,0,0,0,4041,353,17,135,414,815,295,186,527,5100,21,2,3
848,13060,2557,2409,90,178,671,820,523,700,1427,116,90,1342,128,1613,1212,90,0,2307,1252,565,90,734,700,1285,1005,485,3780,2301,1,1
849,9796,35,22,135,126,815,290,286,485,395,293,135,189,815,0,0,0,0,7144,1717,1297,180,546,485,885,888,149,6960,2462,1,3
850,2981,637,65,240,752,815,255,278,610,0,0,0,0,0,0,0,0,0,5431,932,297,150,735,610,155,179,128,3840,3966,2,2
851,1053,2704,1700,90,1034,456,905,661,700,0,0,0,0,0,0,0,0,0,10697,1385,153,240,1455,815,760,674,609,7740,2546,2,1
852,10592,1368,115,90,1206,468,535,278,700,2090,1912,90,222,671,0,0,0,0,6556,926,287,90,670,700,845,581,628,3780,1156,1,1
853,2681,6691,5854,240,1105,456,1030,793,128,139,69,180,190,614,0,0,0,0,5829,206,140,150,156,770,90,84,815,2900,781,1,2
854,256,121,34,240,259,476,975,713,815,84,51,240,205,476,1105,226,180,0,9775,224,62,240,358,815,225,176,128,4890,1023,2,2
855,10424,123,121,240,180,815,240,189,349,361,324,180,161,468,0,0,0,0,3035,968,154,270,1050,349,1120,1077,597,335,15447,1,3
856,2341,2899,2899,650,590,411,1095,839,349,1312,98,240,1402,815,874,61,240,0,7497,767,258,150,600,614,485,256,128,3960,355,1,2
857,36,1417,1249,180,288,555,855,736,815,406,108,180,418,476,0,0,0,0,1547,2588,1397,90,1221,815,1210,1026,700,3780,1976,1,3
858,2809,39,73,180,83,166,220,165,128,959,877,150,169,610,0,0,0,0,3897,783,668,631,686,179,450,305,281,4080,1396,1,2
859,1266,2420,1795,150,722,610,155,205,128,605,495,420,578,349,388,222,420,0,14584,1763,145,240,1791,456,1140,1168,349,550,754,2,2
860,4903,2934,2606,300,564,609,820,722,815,0,0,0,0,0,0,0,0,0,13330,188,0,120,239,236,390,189,815,5160,824,1,3
861,9479,384,224,90,278,579,1010,620,128,294,134,90,1353,579,0,0,0,0,10711,1047,632,90,457,128,1225,983,700,3780,404,2,1
862,5560,1965,595,180,1548,411,670,663,128,1171,441,150,829,456,0,0,0,0,12764,171,153,150,113,166,140,146,128,4230,22284,2,2
863,13721,1305,242,300,1328,308,805,685,256,560,324,620,797,281,3982,1038,180,0,11802,10910,10119,240,1012,256,2020,401,618,2700,38,2,2
864,6739,1348,238,240,1327,128,915,288,411,1119,1112,150,106,610,0,0,0,0,3876,4863,3105,180,1889,411,885,1178,317,840,5080,1,3
865,3404,1087,235,90,915,700,905,464,597,1185,378,300,1092,609,415,233,120,0,5699,1119,185,180,1054,597,1050,943,815,5400,3006,2,2
866,3199,1555,1602,300,227,690,810,625,555,0,0,0,0,0,0,0,0,0,8654,14855,14861,300,251,555,735,555,371,1560,363,1,3
867,11026,199,44,150,243,281,405,210,815,446,332,150,219,485,0,0,0,0,4695,820,283,240,751,815,250,250,349,5250,696,1,1
868,3875,40,820,1110,302,524,845,674,555,3489,3456,240,93,734,0,0,0,0,12915,860,475,180,518,695,450,386,308,1620,88,1,2
869,5198,825,193,150,732,770,115,124,128,3771,3943,300,87,576,42077,41390,300,0,1311,975,553,180,10650,144,1160,1014,349,960,962,2,2
870,313,281,79,240,378,476,975,912,815,351,243,240,286,128,100,89,240,0,9733,750,45,240,886,815,300,207,527,5100,135,1,3
871,6118,428,152,90,301,700,795,342,671,903,600,150,412,571,0,0,0,0,3845,2466,2381,90,157,671,815,696,700,3780,3639,1,3
872,8028,217,97,150,210,308,620,602,128,1633,253,240,1577,485,0,0,0,0,13727,40,33,240,211,128,895,766,800,3960,1031,2,2
873,2429,822,546,90,330,700,1865,1346,431,1251,431,240,1006,815,370,325,300,0,5388,440,140,90,365,431,1745,1398,700,3780,3616,1,2
874,12525,971,719,180,418,671,930,912,349,0,0,0,0,0,0,0,0,0,4234,1119,584,180,655,349,740,921,815,5100,5302,2,3
875,2552,699,120,240,759,815,295,272,485,29,0,135,96,815,45,60,135,0,11263,90,96,180,111,485,570,184,134,2845,893,2,1
876,3465,1338,304,240,1219,815,760,723,609,0,0,0,0,0,0,0,0,0,13406,4215,3221,300,1262,609,785,540,346,1140,3127,1,3
877,18,3751,3040,300,970,789,1050,1132,128,1356,1186,240,363,809,3386,3210,240,0,12722,1307,371,90,969,128,1230,856,700,3780,121,1,1
878,9384,488,295,90,211,456,880,489,700,0,0,0,0,0,0,0,0,0,12964,5011,3977,90,1065,700,1195,764,426,3780,70,1,3
879,8628,5864,5645,420,594,349,920,820,441,9154,6564,90,2608,128,0,0,0,0,13352,2053,416,240,1826,441,970,956,128,3960,2845,1,1
880,6287,1031,673,90,396,485,1240,955,700,37993,37866,90,154,815,1575,1206,90,0,13117,613,86,90,555,700,880,435,584,3780,54,2,2
881,1392,37993,37060,90,965,815,1220,1004,700,4670,4403,90,282,456,0,0,0,0,12420,437,148,360,588,700,947,350,299,948,1496,1,3
882,7316,1866,50,165,1866,281,825,752,413,405,43,165,482,128,0,0,0,0,9551,3730,3650,330,353,413,730,940,349,550,3617,1,2
883,14628,694,574,180,255,128,265,141,815,1013,248,240,945,281,0,0,0,0,11075,872,48,240,1011,815,665,706,431,5370,1685,1,2
884,9688,6875,4733,90,2205,527,1385,1106,700,1069,55,240,1197,815,479,199,90,0,859,1912,1707,90,249,671,800,420,700,3780,980,1,2
885,1511,1109,102,90,1038,815,1210,953,700,2151,1767,90,414,299,1545,348,90,0,8741,4696,4508,90,213,700,765,421,403,3780,1029,2,3
886,13126,692,514,150,270,485,100,19,815,705,346,300,605,485,0,0,0,0,8412,8115,6877,120,1298,236,420,150,815,5160,845,1,3
887,5906,1746,1496,90,266,456,905,505,700,33718,33485,90,265,113,0,0,0,0,10732,2820,2326,90,527,700,880,514,597,3780,5645,2,2
888,13460,538,365,240,390,485,390,173,128,557,37,240,711,815,2809,2742,240,0,11275,662,92,240,772,128,810,634,609,3960,174,1,2
889,1822,1907,373,90,1599,431,1745,1402,700,1230,190,90,1070,815,0,0,0,0,2292,2618,1471,90,1195,700,720,289,245,3780,4523,1,3
890,8497,1976,1684,90,347,413,860,596,700,0,0,0,0,0,0,0,0,0,8760,2294,1610,90,726,700,605,198,698,3780,6069,1,2
891,10575,186,118,135,140,815,930,747,476,15931,15456,240,676,128,1049,101,240,0,1824,3066,1384,90,269,476,1525,1200,700,3780,1429,1,1
892,10724,4508,76,420,4779,349,2628,2550,727,148,76,150,202,128,0,0,0,0,9114,704,56,150,742,727,150,165,128,4200,342,2,3
